piece,quantity,cost
4in wood oval base,1,6.98
1/2in floor flange,1,4.63
1/2in black pipe close,1,0.98
1/2in-3/8in black pipe coupling,1,1.96
3/8in black pipe tee,2,1.78
3/8in black pipe elbow,2,2.12
3/8in black pipe coupling,1,2.12
3/8in black pipe 4in nipple,1,3.11
3/8in black pipe 3in nipple,3,1.88
3/8in lack pipe 3in nipple,2,1.6
3/8in black pipe close,1,1.6
3/8in OD-3/8in FIP brass coupling,2,5.42
3/8in MIP-1/8in FIP brass coupling,1,4.52
1/8in brass close,1,0.5
pull switch light socket,1,6.5
3/8in copper tubing,1,1.3
1/4in copper tubing,1,1
2in duct strap,2,0.98
5in duct strap,1,1.5
3in-6in jelly jar bulb globe,1,4.97
